[3/15/2025, 5:41:15 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: عمل, البداية: 15/3/2025, النهاية: 16/3/2025
[3/15/2025, 7:02:23 PM] تم تقديم طلب إجازة | المستخدم: 1149740028247945318 | النوع: اجازه دراسيه, البداية: 16-3-2025, النهاية: 20-3-2025
[3/16/2025, 2:34:40 AM] تم تقديم طلب إجازة | المستخدم: 1274075233518620820 | النوع: الفل, البداية: 16/3/2025, النهاية: 23/3/2025
[3/16/2025, 2:38:22 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: شسيشسيشسي, البداية: 16/3/2025, النهاية: 17/3/2025
[3/16/2025, 10:06:01 PM] تم تقديم طلب إجازة | المستخدم: 1121157798076633088 | النوع: خاص, البداية: 17-3-2025, النهاية: 27-3-2025
[3/22/2025, 5:54:58 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: تجربة, البداية: 22/3/2025, النهاية: 23/3/2025
[3/23/2025, 3:49:55 AM] إدخال تاريخ غير صالح | المستخدم: 1351358789202481254 | تاريخ البداية: 2025/03/23, النهاية: 2025/03/27
[3/23/2025, 3:51:11 AM] إدخال تاريخ غير صالح | المستخدم: 1351358789202481254 | تاريخ البداية: 2025-03-23, النهاية: 2025-03-26
[3/23/2025, 3:55:03 AM] تم تقديم طلب إجازة | المستخدم: 1351358789202481254 | النوع: متبند, البداية: 23-03-2025, النهاية: 26-03-2025
[3/24/2025, 5:37:06 PM] إدخال تاريخ غير صالح | المستخدم: 1112100936274432131 | تاريخ البداية: 2025-03-24, النهاية: 2025-03-26
[3/24/2025, 5:37:59 PM] تم تقديم طلب إجازة | المستخدم: 1112100936274432131 | النوع: اجازة طارئة, البداية: 24-03-2025, النهاية: 26-03-2025
[3/27/2025, 12:40:32 AM] إدخال تاريخ غير صالح | المستخدم: 766071185603166280 | تاريخ البداية: 2025/3/27, النهاية: 2025/4/3
[3/27/2025, 12:41:17 AM] إدخال تاريخ غير صالح | المستخدم: 766071185603166280 | تاريخ البداية: 2025-3-27, النهاية: 2025-4-4
[3/27/2025, 12:42:11 AM] إدخال تاريخ غير صالح | المستخدم: 766071185603166280 | تاريخ البداية: 2025.3.27, النهاية: 2025.4.4
[3/27/2025, 12:45:25 AM] تم تقديم طلب إجازة | المستخدم: 766071185603166280 | النوع: أخرئ, البداية: 27/3/2025, النهاية: 4/4/2025
[3/27/2025, 10:22:49 PM] تم تقديم طلب إجازة | المستخدم: 924648869281820703 | النوع: خارجية, البداية: 28/3/2025, النهاية: 4/4/2025
[3/28/2025, 3:24:56 AM] إدخال تاريخ غير صالح | المستخدم: 758412572424404994 | تاريخ البداية: 28/3, النهاية: بعد انتهاء 3ث
[3/28/2025, 3:26:19 AM] تم تقديم طلب إجازة | المستخدم: 758412572424404994 | النوع: دراسة, البداية: 28/3/2025, النهاية: 15/7/2025
[3/28/2025, 9:56:08 AM] إدخال تاريخ غير صالح | المستخدم: 1311025008734244915 | تاريخ البداية: 2025/03/28, النهاية: 2025/04/3
[3/28/2025, 9:56:54 AM] إدخال تاريخ غير صالح | المستخدم: 1311025008734244915 | تاريخ البداية: 2025.03.28, النهاية: 2025.04.3
[3/28/2025, 9:57:41 AM] تم تقديم طلب إجازة | المستخدم: 1311025008734244915 | النوع: اخرى, البداية: 28.03.2025, النهاية: 03.04.2025
[3/29/2025, 8:45:29 PM] تم تقديم طلب إجازة | المستخدم: 917787929940746290 | النوع: دراسية, البداية: 29/03/2025, النهاية: 03/04/2025
[4/3/2025, 8:23:41 PM] تم تقديم طلب إجازة | المستخدم: 1098788421956276265 | النوع: مرضية, البداية: 03/04/2025, النهاية: 10/04/2025
[4/3/2025, 8:37:58 PM] تم تقديم طلب إجازة | المستخدم: 1112673371440812063 | النوع: اخرى, البداية: 7/4/2025, النهاية: 5/6/2025
[4/6/2025, 5:02:50 PM] إدخال تاريخ غير صالح | المستخدم: 1355973640474329289 | تاريخ البداية: 6/4, النهاية: 11/4
[4/6/2025, 11:06:59 PM] تم تقديم طلب إجازة | المستخدم: 1098788421956276265 | النوع: إجازة دراسة, البداية: 07/04/2025, النهاية: 05/06/2025
[4/6/2025, 11:10:28 PM] تم تقديم طلب إجازة | المستخدم: 1098788421956276265 | النوع: إجازة دراسة, البداية: 07/04/2025, النهاية: 05/06/2025
[4/7/2025, 12:06:00 AM] تم تقديم طلب إجازة | المستخدم: 1098788421956276265 | النوع: إجازة دراسة, البداية: 07/04/2025, النهاية: 05/06/2025
[4/8/2025, 5:30:18 PM] إدخال تاريخ غير صالح | المستخدم: 1112100936274432131 | تاريخ البداية: 2025-04-08, النهاية: 2025-04-17
[4/8/2025, 5:31:26 PM] تم تقديم طلب إجازة | المستخدم: 1112100936274432131 | النوع: اجازة دراسية, البداية: 8.4.2025, النهاية: 20.4.2025
[4/20/2025, 6:33:57 PM] تم تقديم طلب إجازة | المستخدم: 1112100936274432131 | النوع: اجازة دراسية, البداية: 20-04-2025, النهاية: 5-05-2025
[4/23/2025, 9:17:26 PM] تم تقديم طلب إجازة | المستخدم: 1278128698649743426 | النوع: خارجية, البداية: 23-04-2025, النهاية: 01-06-2025
[5/1/2025, 8:27:10 PM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: دراسية, البداية: 1/5/2025, النهاية: 30/5/2025
[5/1/2025, 8:27:31 PM] تم تقديم طلب إجازة | المستخدم: 1309160291593879615 | النوع: متبند, البداية: 1/5/2025, النهاية: 5/5/2025
[5/2/2025, 3:23:31 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: دراسة واختبارات, البداية: 2/5/2025, النهاية: 30/5/2025
[5/2/2025, 3:29:52 AM] تم تقديم طلب إجازة | المستخدم: 298011146584064000 | النوع: دراسية, البداية: 2/5/2025, النهاية: 30/5/2025
[5/2/2025, 9:05:58 PM] تم تقديم طلب إجازة | المستخدم: 1224729632994230334 | النوع: علشان الامتحانات, البداية: 3-5-2025, النهاية: 6-6-2025
